File,ConfigID,Presolver,Scaling,Pricing,Ratio,Precision,ExitCode,TimeSeconds,Status,Iterations,Difficulty
30n20b8_LP,C1,0,0,0,1,100,0,2.859682991,optimal,383,easy
30n20b8_LP,C2,1,2,0,3,100,0,5.509836933,optimal,325,easy
30n20b8_LP,C3,2,2,5,3,100,0,2.503214067,optimal,299,easy
30n20b8_LP,C4,1,4,3,3,100,0,5.402192943,optimal,331,easy
30n20b8_LP,C5,1,2,0,3,100,0,5.451503192,optimal,325,easy
30n20b8_LP,C6,1,2,0,3,50,0,2.89763674,optimal,317,easy
30n20b8_LP,C7,1,2,0,3,25,0,2.904428875,optimal,317,easy
30n20b8_LP,C8,,,,,,0,0.249,optimal,-1,easy
50v-10_LP,C1,0,0,0,1,100,0,0.4511471,optimal,222,easy
50v-10_LP,C2,1,2,0,3,100,0,0.656313849,optimal,220,easy
50v-10_LP,C3,2,2,5,3,100,0,0.628139437,optimal,254,easy
50v-10_LP,C4,1,4,3,3,100,0,0.661324735,optimal,219,easy
50v-10_LP,C5,1,2,0,3,100,0,0.673202671,optimal,220,easy
50v-10_LP,C6,1,2,0,3,50,0,0.340408178,optimal,220,easy
50v-10_LP,C7,1,2,0,3,25,0,0.337339246,optimal,220,easy
50v-10_LP,C8,,,,,,0,0.046,optimal,-1,easy
academictimetablesmall_LP,C1,0,0,0,1,100,0,223.1993897,optimal,11338,easy
academictimetablesmall_LP,C2,1,2,0,3,100,0,237.8762515,optimal,6184,easy
academictimetablesmall_LP,C3,2,2,5,3,100,0,110.3431843,optimal,4341,easy
academictimetablesmall_LP,C4,1,4,3,3,100,0,268.2797461,optimal,6592,easy
academictimetablesmall_LP,C5,1,2,0,3,100,0,239.6550178,optimal,6184,easy
academictimetablesmall_LP,C6,1,2,0,3,50,0,119.2421511,optimal,6406,easy
academictimetablesmall_LP,C7,1,2,0,3,25,0,115.3243696,optimal,6406,easy
academictimetablesmall_LP,C8,,,,,,0,2.593,optimal,-1,easy
air05_LP,C1,0,0,0,1,100,0,202.1366875,optimal,10150,easy
air05_LP,C2,1,2,0,3,100,0,111.9476076,optimal,5487,easy
air05_LP,C3,2,2,5,3,100,0,23.23854626,optimal,1331,easy
air05_LP,C4,1,4,3,3,100,0,111.1897852,optimal,5487,easy
air05_LP,C5,1,2,0,3,100,0,109.7163662,optimal,5487,easy
air05_LP,C6,1,2,0,3,50,0,45.65072666,optimal,4315,easy
air05_LP,C7,1,2,0,3,25,0,44.83443905,optimal,4315,easy
air05_LP,C8,,,,,,0,0.702,optimal,-1,easy
app1-1_LP,C1,0,0,0,1,100,0,1.193800558,optimal,1338,easy
app1-1_LP,C2,1,2,0,3,100,0,2.665020071,optimal,1381,easy
app1-1_LP,C3,2,2,5,3,100,0,3.318313096,optimal,1346,easy
app1-1_LP,C4,1,4,3,3,100,0,2.70933985,optimal,1338,easy
app1-1_LP,C5,1,2,0,3,100,0,2.70715367,optimal,1381,easy
app1-1_LP,C6,1,2,0,3,50,0,1.39148706,optimal,1382,easy
app1-1_LP,C7,1,2,0,3,25,0,1.398133142,optimal,1382,easy
app1-1_LP,C8,,,,,,0,0.187,optimal,-1,easy
app1-2_LP,C1,0,0,0,1,100,0,129.2399335,optimal,14339,easy
app1-2_LP,C2,1,2,0,3,100,0,146.2212611,optimal,14264,easy
app1-2_LP,C3,2,2,5,3,100,0,216.8556508,optimal,14291,easy
app1-2_LP,C4,1,4,3,3,100,0,125.6111405,optimal,15945,easy
app1-2_LP,C5,1,2,0,3,100,0,149.3213945,optimal,14264,easy
app1-2_LP,C6,1,2,0,3,50,0,79.21018757,optimal,14267,easy
app1-2_LP,C7,1,2,0,3,25,0,81.39239766,optimal,14267,easy
app1-2_LP,C8,,,,,,0,20.077,optimal,-1,easy
assign1-5-8_LP,C1,0,0,0,1,100,0,2.75194227,optimal,1977,easy
assign1-5-8_LP,C2,1,2,0,3,100,0,1.829554266,optimal,1061,easy
assign1-5-8_LP,C3,2,2,5,3,100,0,0.922858595,optimal,333,easy
assign1-5-8_LP,C4,1,4,3,3,100,0,1.717327964,optimal,953,easy
assign1-5-8_LP,C5,1,2,0,3,100,0,1.820372801,optimal,1061,easy
assign1-5-8_LP,C6,1,2,0,3,50,0,0.69676826,optimal,685,easy
assign1-5-8_LP,C7,1,2,0,3,25,0,0.704487587,optimal,685,easy
assign1-5-8_LP,C8,,,,,,0,0.156,optimal,-1,easy
atlanta-ip_LP,C1,0,0,0,1,100,124,750.033461,timeout,-2,easy
atlanta-ip_LP,C2,1,2,0,3,100,124,750.031469,timeout,-2,easy
